name,personality,description
Vermilion,"Adventurous, Enthusiastic","Living in opulent splendor in a grand palace beyond the spirit realm's southern sky, Vermilion had everything she wanted...except adventure. Taking matters into her own hands, she decided to join forces with a worthy Envoy of Gaia and see the rich tapestry of the mortal world for herself.

With an affinity for blazing fire and a knack for wide-radius spell blasts, Vermilion is all too happy to dance her way to red-hot victory. She's a wise spirit but a complete newbie to the world of Terra, so she always has a unique perspective on even seemingly mundane events."
Endora,"Confident, Ambitious","Endora knows she's totally the hottest witch in the spirit realm...her rivals who call her bratty are just jealous! She flies into action with terrifying pumpkin magic and her gigantic scythe, but her toughest challenge is the battle to win Serif's heart."
Bel-Chandra,"Sadistic, Malicious","Known throughout Pandemonium as the Empress of Torment, Bel-Chandra harnesses fearful magic that wracks the bodies of her enemies in terrible agony. Drawn to the hidden darkness in mortals' hearts, she whispers emboldening words, encouraging mercilessness in battle."
Merrilee,"bubbly, can-do","Merrilee's bubbly personality and can-do attitude make her a perfect partner. She does her best to keep you safe with defensive spells and healing magics, but she can also turn the tables on foes with vicious ice attacks."
Hoshizaki Hime,"spoiled, attention-seeking","The protagonist’s Pomeranian with the ability to become human. Though Hime works hard as an idol, she is still a rather spoiled dog who will beg and cry for treats and attention. 
As the protagonist’s pet, she shares the same surname as him and Amane. 
She also hates doorbells."
Hayes,"shy, loyal","The shy and timid barista at the Cat's Paw cat cafe. Often hiding and keeping to himself, he tends to have serious confidence issues when it comes to social interaction. Highly self-conscious, he rarely lets anyone read his poetry or get close. Despite his nervousness, he proves to be loyal and loving and can be one of the nicest people you meet."
Merveille Million,"genius, innovative","Merveille Million (メルヴェーユ・ミリオン, Meruvēyu Mirion), the Officer and Development Chief of the Kurvaz and Bruno's personal secretary. Considered a notable genius even in the Shephard Republic, she has put her skills to work in many different fields. She is particularly brilliant when it comes to Mecha designs, and is personally responsible for raising the standards of Kurvaz machines."
Opéra Kranz,"optimistic, domineering","Opéra Kranz (オペラ・クランツ, Opera Kurantsu)is the head of Kurvaz's Special Operations Unit. Always optimistic and rather domineering, she speaks with an imperious drawl and is usually seen with her subordinates Calua and Gren, with whom she has been working together with for quite some time.

She manages her team under the direction of the Kurvaz leader, Bruno, but has a bit of conflict within herself about Bruno's increasingly aggressive and inhumane orders. She pilots the Tiamat-FL."
Red Savarin,"honest, kind","Red Savarin (レッド・サハラン, Reddo Saharan), the main protagonist of the story. He rides his beloved Mecha, the Dahak, and makes a living as a Hunter together with his adoptive sister Chocolat. He can be a little rough around the edges, but he's honest, kind, and good at taking care of others; the classic ""Alpha Dog.""

An orphan with no memories of his past or how he came to pilot the Dahak, Red is a Caninu with his nose firmly pointing toward the future."
Gren Sacher,"serious, loyal","Gren Sacher (グレン・ザッハー, Guren Sahhā?) is a member of Kurvaz's Special Operations Unit and Opéra's faithful subordinate. Has pledged his allegiance to Opéra and is very straight-laced and incredibly serious.

He is always having to struggle with Calua's impulsive nature and seems to get the bad end of the deal. He pilots the Mephisto TA."
Bruno Dondurma,"Arrogant, Manipulative","Bruno Dondurma (ブルーノ・ドンドルマ, Burūno Dondoruma), the Leader of Kurvaz and a notable figure for establishing the biggest guild in the Republic. He has proactively made a public name for himself and never breaks the law outright, but takes advantages of loopholes to execute his schemes. He never kills innocents, but achieves results through intimidation, threats, and blackmail. He is very haughty and arrogant."
Quentin,"business-minded, opportunistic","Quentin (クエンティン, Kuentin)is the manager of the Duel Ship. He offers many Mecha pilots to compete in matches for the sake of him gaining money from it."
Ogiwara Maika,"Assertive, Stubborn","A refined and popular part-timer working as a school discilplinarian, with an assertive and stubborn nature hidden below a friendly facade."
Sakurako Taketomi,"Friendly, Smart","She's the Operator of Ebina Unit. Sakurako is a friendly girl and also very smart, being an Operator. She is energetic and always makes smart comments. Also, when narrating rank battles, she always introduces her commentators with a punchline."
Futaba Kuroe,"Serious, Eager for battle","She's an A-Rank member of Kako Unit. She has a more serious personality, compared to her leader, but is eager for a battle."
Nozomi Kako,"Laid-back, Serious","She is a an A-Rank Border Agent, the leader of Kako Unit. Kako is a laid-back person. She was also shown to be ashamed of not being able to get to the battlefield with her unit sooner, showing seriousness in her work."
Izuho Natsume,"brash, lazy","She  is an C-Rank agent and a Sniper. Izuho possesses a rather foul mouth for a fourteen year old and she's extremely rough around the edges. She's also very lazy, as she herself admitted."
